# Chris Lomont perft tests
# Jul 2020
# gathered from various sources

# https://bitbucket.org/Felice_Pollano/felpo-ii/src/5d10a59cdc8c/FelpoIITest/Perft/perftsuite.epd
8/3K4/2p5/p2b2r1/5k2/8/8/1q6 b - - 1 67; D1 50; D2 279
8/7p/p5pb/4k3/P1pPn3/8/P5PP/1rB2RK1 b - d3 0 28; D1 5 ;D2 117 ;D3 3293 ;D4 67197 ;D5 1881089 ;D6 38633283 ;D7 1069189070 ;D8 22488501780 ;D9 614975507497 ;D10 13166245942927
rnbqkb1r/ppppp1pp/7n/4Pp2/8/8/PPPP1PPP/RNBQKBNR w KQkq f6 0 3; D5 11139762
r3k2r/Pppp1ppp/1b3nbN/nP6/BBP1P3/q4N2/Pp1P2PP/R2Q1RK1 w kq - 0 1; D1 6; D2 264; D3 9467; D4 422333; D5 15833292; D6 706045033
#  a1-c1	 1	 20	 380	 8660	 178248	 4356383
#  a1-d1	 1	 20	 365	 8008	 168357	 3920659
#  e1-f2	 1	 20	 437	 9978	 221267	 5416699
#  e1-d2	 1	 20	 437	 9934	 213344	 5219312
#  e1-d1	 1    	 20	 300	 6890	 120873	 2997927
#  O-O-O	 1	 20	 385	 8366	 184127	 4238116
#  h1-g1	 1	 19	 454	 9571	 240619	 5525512
#  h1-f1	 1	 17	 395	 7883	 189825	 4242336
#  a2-a4	 1	 21	 357	 8061	 154828	 3751855
#  a2-a3	 1	 21	 376	 8746	 173400	 4296057
#  h2-h4	 1	 20	 358	 8142	 165129	 4032280
#  h2-h3	 1	 20	 339	 7733	 151137	 3705359
#  a5-b6	 1	 22	 470	 11466	 249845	 6435080
#  a5-c7	 1	 21	 438	 10331	 227059	 5686114
#  a5-d8	 1	 21	 403	 9101	 185525	 4478978
#  a5-b4	 1	 19	 395	 8584	 186968	 4430602
#  Total	 17	 341	 6666	 150072	 3186478	 77054993
# 
#  8/5p2/8/2k3P1/p3K3/8/1P6/8 b - -
#  a4-a3	 1	 10	 97	 938	 9640	 93421	 988467	 9390584
#  c5-d6	 1	 9	 88	 853	 8459	 83958	 816983	 8078254
#  c5-b6	 1	 11	 118	 1200	 11503	 115323	 1065268	 10577513
#  c5-b4	 1	 10	 77	 714 	 5868	 55776	 486569	 4669642
#  c5-c4	 1	 8	 67	 591 	 5261	 48723	 445537	 4208721
#  c5-b5	 1	 11	 103	 1011	 9113	 88921	 805644	 7866067
#  c5-c6	 1	 10	 104	 1028	 10615	 105544	 1028958	 10191758
#  f7-f5	 1	 7	 59	 524	 4391	 40950	 346807	 3241645
#  f7-f6	 1	 9	 82	 799	 7270	 71235	 642873	 6227221
#  Total	 9	 85	 795	 7658	 72170	 703851	 6627106	 64451405
# 
# r3k2r/pb3p2/5npp/n2p4/1p1PPB2/6P1/P2N1PBP/R3K2R b KQkq -
# Move
# 
#  b4-b3	 1	 34	 970	 32436
#  a5-b3	 1	 33	 1034	 33632
#  a5-c4	 1	 33	 1137	 36606
#  a5-c6	 1	 33	 1045	 34190
#  d5-e4	 1	 34	 1012	 34071
#  f6-e4	 1	 33	 1028	 33204
#  f6-g4	 1	 32	 948	 29838
#  f6-h5	 1	 33	 910	 29602
#  f6-d7	 1	 33	 977	 32049
#  f6-h7	 1	 33	 875	 28721
#  f6-g8	 1	 33	 780	 25598
#  g6-g5	 1	 32	 945	 30051
#  h6-h5	 1	 33	 945	 30930
#  a7-a6	 1	 33	 913	 30009
#  b7-c8	 1	 33	 1016	 33123
#  b7-a6	 1	 30	 975	 29709
#  b7-c6	 1	 33	 980	 32009
#  a8-b8	 1	 33	 949	 31075
#  a8-c8	 1	 32	 1105	 34786
#  a8-d8	 1	 33	 986	 32226
#  e8-d7	 1	 33	 1157	 37692
#  e8-e7	 1	 33	 1145	 37416
#  e8-d8	 1	 33	 895	 29190
#  e8-f8	 1	 33	 874	 28534
#  O-O	 1	 33	 921	 29995
#  O-O-O	 1	 33 	 888	 28743
#  h8-h7	 1	 33	 849	 27755
#  h8-g8	 1	 33	 881	 28818
#  h8-f8	 1	 33	 850	 27799
#  Total	 29	 953	 27990	 909807
#  
#  Perft (5) =    26,957,954
#  
#  Perft (6) =  867,640,754
# 
# 

# todo - add https://www.chessprogramming.org/Perft_Results
rnbq1k1r/pp1Pbppp/2p5/8/2B5/8/PPP1NnPP/RNBQK2R w KQ - 1 8;  D1 44; D2 1486; D3 62379; D4 2103487; D5 89941194
r4rk1/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N2/1PP1QPPP/R4RK1 w - - 0 10 ;D1 46 ;D2 2079 ;D3 89890 ;D4 3894594 ;D5 164075551 ;D6 6923051137 ;D7 287188994746 ;D8 11923589843526 ;D9 490154852788714

# end of file
